//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//奇迹数据管理 V24
//MuEdit3.X
//游戏版本：[S6EP3]ITG
//商店名称：[251]铁匠汉斯
//[软件定制][服务器维护][一条龙开区]
//              Falcon黄ヤ金 QQ：86339218
//              奇迹技术交流群 ：16527369
//编辑时间：2024年9月19日12时46分9秒
//========================================================================================================================================================================================================================================================================================================================================================================================================================================================
//[1]大编号
//[2]小编号
//[3]等级
//[4]耐久
//[5]技能
//[6]幸运
//[7]追加
//[8]卓越
//[9]套装
//[10]强化
//[11]强化值
//[12]镶嵌1
//[13]镶嵌2
//[14]镶嵌3
//[15]镶嵌4
//[16]镶嵌5
//[17]物品信息
//[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]	[16]	[17]
7	1	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>龙王之盔
12	7	0	1	0	1	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>霹雳回旋斩之石
12	14	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>生命之光之石
7	26	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>圣魂之盔
0	5	2	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>技能=>幸运=>强化=>极光刀
0	13	2	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>技能=>幸运=>强化=>真红之剑
12	13	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>钻云枪之石
12	16	0	1	0	0	0	0	0	0	0	255	255	255	255	255	//[+0Z0]=>玄月斩之石
8	1	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>龙王之铠
8	20	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>奔雷之铠
8	26	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>圣魂之铠
0	21	2	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>技能=>幸运=>强化=>魔神剑
9	1	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>龙王护腿
9	20	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>奔雷护腿
9	26	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>圣魂护腿
10	1	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>龙王护手
10	20	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>奔雷护手
10	26	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>圣魂护手
2	8	2	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>技能=>幸运=>强化=>战斗权杖
2	9	2	255	1	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>技能=>幸运=>强化=>征服权杖
11	1	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>龙王之靴
11	20	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>奔雷之靴
11	26	2	255	0	1	0	0	0	0	0	255	255	255	255	255	//[+2Z0]=>圣魂之靴

end
