//编号   禁止PK   视野范围   经验倍数   物品掉率   卓越掉率   套装掉率   孔装掉率   助手   决斗地图	自攻击	自商店 	自拾取	红名	Gate   	地图
0			*		12			1000		1000			10000		10000			0		1		0		1		1		1		1		17		"勇者大陆"
1			*		12			1000		1000			10000		10000			0		1		0		1		0		1		1		17		"地下城"
2			*		12			1000		1000			10000		10000			0		1		0		1		1		1		1		22		"冰风谷"
3			*		12			1000		1000			10000		10000			0		1		0		1		1		1		1		27		"仙踪林"
4			*		12			1000		1000			10000		10000			0		1		0		1		0		1		1		42		"失落之塔"
6			*		10			1000		1000			10000		0			0		1		0		1		0		1		1		115		"竞技场"
7			*		12			1000		1000			10000		0			0		1		0		1		0		1		1		49		"亚特兰蒂斯"
8			*		12			1000		1000			10000		0			0		1		0		1		0		1		1		57		"死亡沙漠"
9			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		27		"恶魔广场 (1~4)"
10			*		12			1000		1000			10000		0			0		1		0		1		0		1		1		42		"天空之城"
11			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		22		"血色城堡 1"
12			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		22		"血色城堡 2"
13			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		22		"血色城堡 3"
14			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		22		"血色城堡 4"
15			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		22		"血色城堡 5"
16			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		22		"血色城堡 6"
17			*		10			1000		1000			10000		0			0		1		0		0		0		0		0		22		"血色城堡 7"
18			*		10			1000		1000			10000		0			0		0		0		0		0		0		0		17		"赤色要塞 1"
19			*		10			1000		1000			10000		0			0		0		0		0		0		0		0		17		"赤色要塞 2"
20			*		10			1000		1000			10000		0			0		0		0		0		0		0		0		17		"赤色要塞 3"
21			*		10			1000		1000			10000		0			0		0		0		0		0		0		0		17		"赤色要塞 4"
22			*		10			1000		1000			10000		0			0		0		0		0		0		0		0		17		"赤色要塞 5"
