18:23:40 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
18:24:08 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:08:04 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:10:27 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:13:11 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:14:54 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:15:53 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:24:37 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:24:51 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:46:10 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
20:48:31 [AccountInfo] Account connected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
21:19:26 [AccountInfo] Account disconnected (Account: 0000, IpAddress: 14.155.107.187, GameServerCode: 0)
